Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-data-analyst-chennai-bangalore-neoware-technology-solutions-chennai-bengaluru-3-to-6-years-300125907513,Data Analyst- Chennai / Bangalore,Neoware Technology Solutions,12-20 Lacs PA,"Chennai, Bengaluru",3-6 Yrs,"Data Mining, Data Analysis, Data Visualization, Power Bi, Tableau, SQLRData Manipulation",2022-03
https://www.naukri.com/job-listings-data-analyst-german-numerator-vadodara-0-to-3-years-300125017930,Data Analyst (German),Numerator,Not disclosed,Remote,0-3 Yrs,"Google Sheets, German Language, Powerpoint, Data analysis, German, Google Apps Script, Sheet, Google",2022-03
https://www.naukri.com/job-listings-marine-data-analyst-exxonmobil-bengaluru-3-to-5-years-240125019829,Marine Data Analyst,ExxonMobil,Not disclosed,Bengaluru,3-5 Yrs,"Data Analytics, RPower Bi, Data Visualization, Data Collection, Gps, Tableau, Logistics",2022-03
https://www.naukri.com/job-listings-data-analyst-medtoureasy-india-2-to-4-years-310125921203,Data Analyst,Medtoureasy,Not disclosed,India,2-4 Yrs,project managementdata analysisdata analyticsdata managementpresentation skillspythondata miningpredictive analytics,2022-03
https://www.naukri.com/job-listings-petrophysics-data-analyst-chevron-bengaluru-2-to-5-years-310125920880,Petrophysics Data Analyst,Chevron,Not disclosed,Bengaluru,2-5 Yrs,pythonquality controldata manipulationgtstroubleshootingdata analysisdata managementdata interpretation,2022-03
https://www.naukri.com/job-listings-data-analyst-ipg-advertising-business-services-llp-mumbai-sakinaka-2-to-4-years-290125911171,Data Analyst,IPG Advertising Business Services LLP,Not disclosed,"Mumbai, Sakinaka",2-4 Yrs,"SQL Queries, Pythonrisk managementdata analyticsdata analysisoraclespotfiredata mining",2022-03
https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-280125927538,"Data Eng, Mgmt & Governance Analyst",Accenture,Not disclosed,Bengaluru,3-5 Yrs,data managementsqlgcpbigqueryetlpythondata analysisdata analytics,2022-03
https://www.naukri.com/job-listings-data-analyst-cognizant-technology-solutions-india-ltd-hyderabad-5-to-9-years-240125500923,Data Analyst,Cognizant,Not disclosed,Hyderabad,5-9 Yrs,"Data modelingbig data analytics, Analytical, Diversity and Inclusion, Data Analystsqoop, US healthcare, Video conference",2022-03
https://www.naukri.com/job-listings-data-analyst-probo-gurugram-2-to-4-years-310125920626,Data Analyst,Probo,Not disclosed,Gurugram,2-4 Yrs,quicksightpythonpower bisqlscripting languagesdata analysisdata analyticsbi,2022-03
https://www.naukri.com/job-listings-data-analyst-python-hadoop-sadup-softech-bengaluru-3-to-6-years-290125917927,Data Analyst - Python/Hadoop,Sadup Soft,Not disclosed,Bengaluru,3-6 Yrs,"Data analysis, Data Validation, Data Integrity, Big, Query, Hadoop, Data Analyst, Spark, Data Analytics",2022-03
https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-hyderabad-6-to-9-years-040225910689,Data Analyst,Capgemini,Not disclosed,Hyderabad,6-9 Yrs,performance tuningsqlpostgresqltroubleshootingmysqlpythondata analysisdata validation,2022-03
https://www.naukri.com/job-listings-offshore-data-analyst-oakton-gtsci-pvt-ltdd-bengaluru-3-to-8-years-030225500676,Offshore Data Analyst,Oakton GTSCI Pvt Ltdd,Not disclosed,Bengaluru,3-8 Yrs,"data cleansing, Data analysis, Analytical, Artificial Intelligence, Machine learning, Healthcare, Data quality, Financial services",2022-03
https://www.naukri.com/job-listings-data-analyst-sutara-learning-foundation-bengaluru-4-to-5-years-141224005460,Data Analyst,Sutara Learning Foundation,Not disclosed,Bengaluru(Bannerghatta Road),4-5 Yrs,"Data Analysisdata, Data Analytics, Analysis, Analytics",2022-03
https://www.naukri.com/job-listings-data-analyst-rubyseven-studios-inc-kochi-3-to-5-years-280125924073,Data Analyst,Ruby Seven Studios,Not disclosed,Kochi,3-5 Yrs,"Data Analytics, Data Science, Hadoop, Big Databusiness analysis, Tableau, Spark, Python",2022-03
https://www.naukri.com/job-listings-offshore-data-analyst-oakton-gtsci-pvt-ltdd-bengaluru-4-to-8-years-030225500698,Offshore Data Analyst,Oakton GTSCI Pvt Ltdd,Not disclosed,Bengaluru,4-8 Yrs,"Statistical analysis, Technology consulting, Artificial Intelligence, Machine learning, Market research, Data quality, Predictive modeling, Data Analyst",2022-03
https://www.naukri.com/job-listings-data-analyst-iii-sadup-softech-bengaluru-5-to-8-years-300125916168,Data Analyst III,Sadup Soft,Not disclosed,Bengaluru,5-8 Yrs,"Data analysis, Data Integrity, Data Analyst, Data Visualization Tools, Tableau, Data Analytics, Looker, Data",2022-03
https://www.naukri.com/job-listings-data-analyst-python-aws-capgemini-technology-services-india-limited-pune-4-to-9-years-040225911898,Data Analyst(Python & AWS),Capgemini,Not disclosed,Pune,4-9 Yrs,pythonversion controlamazon rdsamazon ec2flaskrestcontinuous integrationdynamo db,2022-03
https://www.naukri.com/job-listings-data-analyst-zensar-technologies-limited-karnataka-0-to-3-years-230125905439,Data Analyst,Zensar,Not disclosed,Karnataka,0-3 Yrs,data analysispivot tableknowledge managementpivotcrmhlookupmacrosdata validation,2022-03
https://www.naukri.com/job-listings-data-analyst-milestone-online-technology-kolkata-delhi-ncr-mumbai-all-areas-0-to-1-years-030225001061,Data Analyst,Milestone Online Technology,2.25-3 Lacs PA,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)",0-1 Yrs,"Finance, Reporting, MIS Reporting, Excel Report Preparation, Business Analysis, Pivot Table, Excel, Analysis",2022-03
https://www.naukri.com/job-listings-data-analyst-milestone-online-technology-hyderabad-chennai-bengaluru-0-to-1-years-030225001058,Data Analyst,Milestone Online Technology,2.25-3 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru",0-1 Yrs,"Finance, Reporting, MIS Reporting, Excel Report Preparation, Business Analysis, Pivot Table, Excel, Analysis",2022-03
https://www.naukri.com/job-listings-data-analyst-chennai-bangalore-neoware-technology-solutions-chennai-bengaluru-3-to-6-years-300125907513,Data Analyst- Chennai / Bangalore,Neoware Technology Solutions,12-20 Lacs PA,"Chennai, Bengaluru",3-6 Yrs,"Data Mining, Data Analysis, Data Visualization, Power Bi, Tableau, SQLRData Manipulation",2022-03
https://www.naukri.com/job-listings-data-analyst-german-numerator-vadodara-0-to-3-years-300125017930,Data Analyst (German),Numerator,Not disclosed,Remote,0-3 Yrs,"Google Sheets, German Language, Powerpoint, Data analysis, German, Google Apps Script, Sheet, Google",2022-03
https://www.naukri.com/job-listings-marine-data-analyst-exxonmobil-bengaluru-3-to-5-years-240125019829,Marine Data Analyst,ExxonMobil,Not disclosed,Bengaluru,3-5 Yrs,"Data Analytics, RPower Bi, Data Visualization, Data Collection, Gps, Tableau, Logistics",2022-03
https://www.naukri.com/job-listings-data-analyst-medtoureasy-india-2-to-4-years-310125921203,Data Analyst,Medtoureasy,Not disclosed,India,2-4 Yrs,project managementdata analysisdata analyticsdata managementpresentation skillspythondata miningpredictive analytics,2022-03
https://www.naukri.com/job-listings-petrophysics-data-analyst-chevron-bengaluru-2-to-5-years-310125920880,Petrophysics Data Analyst,Chevron,Not disclosed,Bengaluru,2-5 Yrs,pythonquality controldata manipulationgtstroubleshootingdata analysisdata managementdata interpretation,2022-03
https://www.naukri.com/job-listings-data-analyst-ipg-advertising-business-services-llp-mumbai-sakinaka-2-to-4-years-290125911171,Data Analyst,IPG Advertising Business Services LLP,Not disclosed,"Mumbai, Sakinaka",2-4 Yrs,"SQL Queries, Pythonrisk managementdata analyticsdata analysisoraclespotfiredata mining",2022-03
https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-280125927538,"Data Eng, Mgmt & Governance Analyst",Accenture,Not disclosed,Bengaluru,3-5 Yrs,data managementsqlgcpbigqueryetlpythondata analysisdata analytics,2022-03
https://www.naukri.com/job-listings-data-analyst-cognizant-technology-solutions-india-ltd-hyderabad-5-to-9-years-240125500923,Data Analyst,Cognizant,Not disclosed,Hyderabad,5-9 Yrs,"Data modelingbig data analytics, Analytical, Diversity and Inclusion, Data Analystsqoop, US healthcare, Video conference",2022-03
https://www.naukri.com/job-listings-data-analyst-probo-gurugram-2-to-4-years-310125920626,Data Analyst,Probo,Not disclosed,Gurugram,2-4 Yrs,quicksightpythonpower bisqlscripting languagesdata analysisdata analyticsbi,2022-03
https://www.naukri.com/job-listings-data-analyst-python-hadoop-sadup-softech-bengaluru-3-to-6-years-290125917927,Data Analyst - Python/Hadoop,Sadup Soft,Not disclosed,Bengaluru,3-6 Yrs,"Data analysis, Data Validation, Data Integrity, Big, Query, Hadoop, Data Analyst, Spark, Data Analytics",2022-03
https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-hyderabad-6-to-9-years-040225910689,Data Analyst,Capgemini,Not disclosed,Hyderabad,6-9 Yrs,performance tuningsqlpostgresqltroubleshootingmysqlpythondata analysisdata validation,2022-03
https://www.naukri.com/job-listings-offshore-data-analyst-oakton-gtsci-pvt-ltdd-bengaluru-3-to-8-years-030225500676,Offshore Data Analyst,Oakton GTSCI Pvt Ltdd,Not disclosed,Bengaluru,3-8 Yrs,"data cleansing, Data analysis, Analytical, Artificial Intelligence, Machine learning, Healthcare, Data quality, Financial services",2022-03
https://www.naukri.com/job-listings-data-analyst-sutara-learning-foundation-bengaluru-4-to-5-years-141224005460,Data Analyst,Sutara Learning Foundation,Not disclosed,Bengaluru(Bannerghatta Road),4-5 Yrs,"Data Analysisdata, Data Analytics, Analysis, Analytics",2022-03
https://www.naukri.com/job-listings-data-analyst-rubyseven-studios-inc-kochi-3-to-5-years-280125924073,Data Analyst,Ruby Seven Studios,Not disclosed,Kochi,3-5 Yrs,"Data Analytics, Data Science, Hadoop, Big Databusiness analysis, Tableau, Spark, Python",2022-03
https://www.naukri.com/job-listings-offshore-data-analyst-oakton-gtsci-pvt-ltdd-bengaluru-4-to-8-years-030225500698,Offshore Data Analyst,Oakton GTSCI Pvt Ltdd,Not disclosed,Bengaluru,4-8 Yrs,"Statistical analysis, Technology consulting, Artificial Intelligence, Machine learning, Market research, Data quality, Predictive modeling, Data Analyst",2022-03
https://www.naukri.com/job-listings-data-analyst-iii-sadup-softech-bengaluru-5-to-8-years-300125916168,Data Analyst III,Sadup Soft,Not disclosed,Bengaluru,5-8 Yrs,"Data analysis, Data Integrity, Data Analyst, Data Visualization Tools, Tableau, Data Analytics, Looker, Data",2022-03
https://www.naukri.com/job-listings-data-analyst-python-aws-capgemini-technology-services-india-limited-pune-4-to-9-years-040225911898,Data Analyst(Python & AWS),Capgemini,Not disclosed,Pune,4-9 Yrs,pythonversion controlamazon rdsamazon ec2flaskrestcontinuous integrationdynamo db,2022-03
https://www.naukri.com/job-listings-data-analyst-zensar-technologies-limited-karnataka-0-to-3-years-230125905439,Data Analyst,Zensar,Not disclosed,Karnataka,0-3 Yrs,data analysispivot tableknowledge managementpivotcrmhlookupmacrosdata validation,2022-03
https://www.naukri.com/job-listings-data-analyst-milestone-online-technology-kolkata-delhi-ncr-mumbai-all-areas-0-to-1-years-030225001061,Data Analyst,Milestone Online Technology,2.25-3 Lacs PA,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)",0-1 Yrs,"Finance, Reporting, MIS Reporting, Excel Report Preparation, Business Analysis, Pivot Table, Excel, Analysis",2022-03
https://www.naukri.com/job-listings-data-analyst-milestone-online-technology-hyderabad-chennai-bengaluru-0-to-1-years-030225001058,Data Analyst,Milestone Online Technology,2.25-3 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru",0-1 Yrs,"Finance, Reporting, MIS Reporting, Excel Report Preparation, Business Analysis, Pivot Table, Excel, Analysis",2022-03
https://www.naukri.com/job-listings-data-analyst-chennai-bangalore-neoware-technology-solutions-chennai-bengaluru-3-to-6-years-300125907513,Data Analyst- Chennai / Bangalore,Neoware Technology Solutions,12-20 Lacs PA,"Chennai, Bengaluru",3-6 Yrs,"Data Mining, Data Analysis, Data Visualization, Power Bi, Tableau, SQLRData Manipulation",2022-03
https://www.naukri.com/job-listings-data-analyst-german-numerator-vadodara-0-to-3-years-300125017930,Data Analyst (German),Numerator,Not disclosed,Remote,0-3 Yrs,"Google Sheets, German Language, Powerpoint, Data analysis, German, Google Apps Script, Sheet, Google",2022-03
https://www.naukri.com/job-listings-marine-data-analyst-exxonmobil-bengaluru-3-to-5-years-240125019829,Marine Data Analyst,ExxonMobil,Not disclosed,Bengaluru,3-5 Yrs,"Data Analytics, RPower Bi, Data Visualization, Data Collection, Gps, Tableau, Logistics",2022-03
https://www.naukri.com/job-listings-data-analyst-medtoureasy-india-2-to-4-years-310125921203,Data Analyst,Medtoureasy,Not disclosed,India,2-4 Yrs,project managementdata analysisdata analyticsdata managementpresentation skillspythondata miningpredictive analytics,2022-03
https://www.naukri.com/job-listings-petrophysics-data-analyst-chevron-bengaluru-2-to-5-years-310125920880,Petrophysics Data Analyst,Chevron,Not disclosed,Bengaluru,2-5 Yrs,pythonquality controldata manipulationgtstroubleshootingdata analysisdata managementdata interpretation,2022-03
https://www.naukri.com/job-listings-data-analyst-ipg-advertising-business-services-llp-mumbai-sakinaka-2-to-4-years-290125911171,Data Analyst,IPG Advertising Business Services LLP,Not disclosed,"Mumbai, Sakinaka",2-4 Yrs,"SQL Queries, Pythonrisk managementdata analyticsdata analysisoraclespotfiredata mining",2022-03
https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-bengaluru-3-to-5-years-280125927538,"Data Eng, Mgmt & Governance Analyst",Accenture,Not disclosed,Bengaluru,3-5 Yrs,data managementsqlgcpbigqueryetlpythondata analysisdata analytics,2022-03
https://www.naukri.com/job-listings-data-analyst-cognizant-technology-solutions-india-ltd-hyderabad-5-to-9-years-240125500923,Data Analyst,Cognizant,Not disclosed,Hyderabad,5-9 Yrs,"Data modelingbig data analytics, Analytical, Diversity and Inclusion, Data Analystsqoop, US healthcare, Video conference",2022-03
https://www.naukri.com/job-listings-data-analyst-probo-gurugram-2-to-4-years-310125920626,Data Analyst,Probo,Not disclosed,Gurugram,2-4 Yrs,quicksightpythonpower bisqlscripting languagesdata analysisdata analyticsbi,2022-03
https://www.naukri.com/job-listings-data-analyst-python-hadoop-sadup-softech-bengaluru-3-to-6-years-290125917927,Data Analyst - Python/Hadoop,Sadup Soft,Not disclosed,Bengaluru,3-6 Yrs,"Data analysis, Data Validation, Data Integrity, Big, Query, Hadoop, Data Analyst, Spark, Data Analytics",2022-03
https://www.naukri.com/job-listings-data-analyst-capgemini-technology-services-india-limited-hyderabad-6-to-9-years-040225910689,Data Analyst,Capgemini,Not disclosed,Hyderabad,6-9 Yrs,performance tuningsqlpostgresqltroubleshootingmysqlpythondata analysisdata validation,2022-03
https://www.naukri.com/job-listings-offshore-data-analyst-oakton-gtsci-pvt-ltdd-bengaluru-3-to-8-years-030225500676,Offshore Data Analyst,Oakton GTSCI Pvt Ltdd,Not disclosed,Bengaluru,3-8 Yrs,"data cleansing, Data analysis, Analytical, Artificial Intelligence, Machine learning, Healthcare, Data quality, Financial services",2022-03
https://www.naukri.com/job-listings-data-analyst-sutara-learning-foundation-bengaluru-4-to-5-years-141224005460,Data Analyst,Sutara Learning Foundation,Not disclosed,Bengaluru(Bannerghatta Road),4-5 Yrs,"Data Analysisdata, Data Analytics, Analysis, Analytics",2022-03
https://www.naukri.com/job-listings-data-analyst-rubyseven-studios-inc-kochi-3-to-5-years-280125924073,Data Analyst,Ruby Seven Studios,Not disclosed,Kochi,3-5 Yrs,"Data Analytics, Data Science, Hadoop, Big Databusiness analysis, Tableau, Spark, Python",2022-03
https://www.naukri.com/job-listings-offshore-data-analyst-oakton-gtsci-pvt-ltdd-bengaluru-4-to-8-years-030225500698,Offshore Data Analyst,Oakton GTSCI Pvt Ltdd,Not disclosed,Bengaluru,4-8 Yrs,"Statistical analysis, Technology consulting, Artificial Intelligence, Machine learning, Market research, Data quality, Predictive modeling, Data Analyst",2022-03
https://www.naukri.com/job-listings-data-analyst-iii-sadup-softech-bengaluru-5-to-8-years-300125916168,Data Analyst III,Sadup Soft,Not disclosed,Bengaluru,5-8 Yrs,"Data analysis, Data Integrity, Data Analyst, Data Visualization Tools, Tableau, Data Analytics, Looker, Data",2022-03
https://www.naukri.com/job-listings-data-analyst-python-aws-capgemini-technology-services-india-limited-pune-4-to-9-years-040225911898,Data Analyst(Python & AWS),Capgemini,Not disclosed,Pune,4-9 Yrs,pythonversion controlamazon rdsamazon ec2flaskrestcontinuous integrationdynamo db,2022-03
https://www.naukri.com/job-listings-data-analyst-zensar-technologies-limited-karnataka-0-to-3-years-230125905439,Data Analyst,Zensar,Not disclosed,Karnataka,0-3 Yrs,data analysispivot tableknowledge managementpivotcrmhlookupmacrosdata validation,2022-03
https://www.naukri.com/job-listings-data-analyst-milestone-online-technology-kolkata-delhi-ncr-mumbai-all-areas-0-to-1-years-030225001061,Data Analyst,Milestone Online Technology,2.25-3 Lacs PA,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)",0-1 Yrs,"Finance, Reporting, MIS Reporting, Excel Report Preparation, Business Analysis, Pivot Table, Excel, Analysis",2022-03
